protein	gene	chrom	rates
NP_932347.2	SCML4	6	data/rates/SCML4_NP_932347.2.csv
NP_056477.1	IFT172	2	data/rates/IFT172_NP_056477.1.csv
NP_115885.2	ARHGAP9	12	data/rates/ARHGAP9_NP_115885.2.csv
NP_003263.1	GPR137B	1	data/rates/GPR137B_NP_003263.1.csv
NP_004530.1	NARS1	18	data/rates/NARS_NP_004530.1.csv
NP_055746.3	PPP6R1	19	data/rates/PPP6R1_NP_055746.3.csv
NP_005041.1	ABCD4	14	data/rates/ABCD4_NP_005041.1.csv
NP_055423.1	CYFIP1	15	data/rates/CYFIP1_NP_055423.1.csv
NP_061959.2	VSIG10	12	data/rates/VSIG10_NP_061959.2.csv
NP_060587.8	WDR11	10	data/rates/WDR11_NP_060587.8.csv
NP_001106995.1	PARP15	3	data/rates/PARP15_NP_001106995.1.csv
NP_055521.1	SART3	12	data/rates/SART3_NP_055521.1.csv
NP_077008.2	SLC25A23	19	data/rates/SLC25A23_NP_077008.2.csv
NP_002154.1	IRF8	16	data/rates/IRF8_NP_002154.1.csv
NP_031375.3	PAXIP1	7	data/rates/PAXIP1_NP_031375.3.csv
NP_000633.2	AGL	1	data/rates/AGL_NP_000633.2.csv
NP_113621.1	MFRP	11	data/rates/MFRP_NP_113621.1.csv
NP_689592.2	C1orf131	1	data/rates/C1orf131_NP_689592.2.csv
NP_115756.2	GFM2	5	data/rates/GFM2_NP_115756.2.csv
NP_149044.2	MFSD14A	1	data/rates/MFSD14A_NP_149044.2.csv
NP_001928.2	DPT	1	data/rates/DPT_NP_001928.2.csv
NP_001007123.1	FSD2	15	data/rates/FSD2_NP_001007123.1.csv
NP_000530.1	RHO	3	data/rates/RHO_NP_000530.1.csv
NP_078789.2	FYCO1	3	data/rates/FYCO1_NP_078789.2.csv
NP_036419.3	ACAP2	3	data/rates/ACAP2_NP_036419.3.csv
NP_722520.2	ZFPM1	16	data/rates/ZFPM1_NP_722520.2.csv
NP_055789.1	DIP2C	10	data/rates/DIP2C_NP_055789.1.csv
NP_038474.2	MKRN1	7	data/rates/MKRN1_NP_038474.2.csv
NP_006381.2	IPO8	12	data/rates/IPO8_NP_006381.2.csv
NP_443173.2	GBP4	1	data/rates/GBP4_NP_443173.2.csv
NP_005042.1	QARS1	3	data/rates/QARS_NP_005042.1.csv
NP_734464.1	IFNLR1	1	data/rates/IFNLR1_NP_734464.1.csv
NP_001353160.1	ARHGAP28	18	data/rates/ARHGAP28_NP_001353160.1.csv
NP_828848.3	PLA2G4D	15	data/rates/PLA2G4D_NP_828848.3.csv
NP_064581.2	XAB2	19	data/rates/XAB2_NP_064581.2.csv
NP_005434.4	PAPSS1	4	data/rates/PAPSS1_NP_005434.4.csv
NP_620153.1	MITD1	2	data/rates/MITD1_NP_620153.1.csv
NP_620688.2	ADAMTS17	15	data/rates/ADAMTS17_NP_620688.2.csv
NP_061903.2	DHX29	5	data/rates/DHX29_NP_061903.2.csv
NP_722517.3	CACUL1	10	data/rates/CACUL1_NP_722517.3.csv
NP_945314.1	DHX57	2	data/rates/DHX57_NP_945314.1.csv
NP_817089.1	CDH26	20	data/rates/CDH26_NP_817089.1.csv
NP_955387.1	ADAMTS18	16	data/rates/ADAMTS18_NP_955387.1.csv
NP_940934.1	PEAK3	19	data/rates/PEAK3_NP_940934.1.csv
NP_775864.3	B4GALNT3	12	data/rates/B4GALNT3_NP_775864.3.csv
NP_001304992.1	ATP6V1E2	2	data/rates/ATP6V1E2_NP_001304992.1.csv
NP_689800.3	C11orf65	11	data/rates/C11orf65_NP_689800.3.csv
NP_001029027.1	DCLRE1C	10	data/rates/DCLRE1C_NP_001029027.1.csv
NP_001268231.1	GFM2	5	data/rates/GFM2_NP_001268231.1.csv
NP_776253.3	SLC41A1	1	data/rates/SLC41A1_NP_776253.3.csv
NP_036320.2	FOXI1	5	data/rates/FOXI1_NP_036320.2.csv
NP_056073.1	FKBP15	9	data/rates/FKBP15_NP_056073.1.csv
NP_056391.1	ERC2	3	data/rates/ERC2_NP_056391.1.csv
NP_064518.1	AGPAT4	6	data/rates/AGPAT4_NP_064518.1.csv
NP_060023.1	INO80	15	data/rates/INO80_NP_060023.1.csv
NP_079124.1	MORN1	1	data/rates/MORN1_NP_079124.1.csv
NP_056061.1	MGRN1	16	data/rates/MGRN1_NP_056061.1.csv
NP_006792.1	KDELR1	19	data/rates/KDELR1_NP_006792.1.csv
NP_055565.3	DLGAP5	14	data/rates/DLGAP5_NP_055565.3.csv
NP_006286.1	VARS1	6	data/rates/VARS_NP_006286.1.csv
NP_055059.2	ADAMTS2	5	data/rates/ADAMTS2_NP_055059.2.csv
NP_443135.3	TUBGCP5	15	data/rates/TUBGCP5_NP_443135.3.csv
NP_000325.4	SCN4A	17	data/rates/SCN4A_NP_000325.4.csv
NP_000761.3	CYP2C8	10	data/rates/CYP2C8_NP_000761.3.csv
NP_001099028.1	WEE2	7	data/rates/WEE2_NP_001099028.1.csv
NP_997290.2	TMPRSS11F	4	data/rates/TMPRSS11F_NP_997290.2.csv
NP_006090.2	PIAS3	1	data/rates/PIAS3_NP_006090.2.csv
NP_789781.2	NLRP8	19	data/rates/NLRP8_NP_789781.2.csv
NP_002992.1	SDHC	1	data/rates/SDHC_NP_002992.1.csv
NP_057132.2	ISOC1	5	data/rates/ISOC1_NP_057132.2.csv
NP_000041.2	ASS1	9	data/rates/ASS1_NP_000041.2.csv
NP_060003.2	MYH4	17	data/rates/MYH4_NP_060003.2.csv
NP_443114.1	ZIM3	19	data/rates/ZIM3_NP_443114.1.csv
NP_008881.2	SYN1	X	data/rates/SYN1_NP_008881.2.csv
NP_997057.1	ABCG1	21	data/rates/ABCG1_NP_997057.1.csv
NP_006203.2	PFKFB2	1	data/rates/PFKFB2_NP_006203.2.csv
NP_036288.2	EPB41L1	20	data/rates/EPB41L1_NP_036288.2.csv
NP_001005369.1	MTIF2	2	data/rates/MTIF2_NP_001005369.1.csv
NP_002269.3	KRT32	17	data/rates/KRT32_NP_002269.3.csv
NP_689931.2	VWCE	11	data/rates/VWCE_NP_689931.2.csv
NP_671724.1	MMP21	10	data/rates/MMP21_NP_671724.1.csv
NP_079016.2	ALG9	11	data/rates/ALG9_NP_079016.2.csv
NP_789780.2	NLRP13	19	data/rates/NLRP13_NP_789780.2.csv
NP_862823.1	KCNK18	10	data/rates/KCNK18_NP_862823.1.csv
NP_065757.1	SCAF4	21	data/rates/SCAF4_NP_065757.1.csv
NP_001130002.1	SERPINE2	2	data/rates/SERPINE2_NP_001130002.1.csv
NP_001027025.2	ACCSL	11	data/rates/ACCSL_NP_001027025.2.csv
NP_006086.1	ATP8A1	4	data/rates/ATP8A1_NP_006086.1.csv
NP_001087199.1	DYTN	2	data/rates/DYTN_NP_001087199.1.csv
NP_001185947.1	LRRC49	15	data/rates/LRRC49_NP_001185947.1.csv
NP_001138439.1	NEDD4L	18	data/rates/NEDD4L_NP_001138439.1.csv
NP_066565.1	NMT1	17	data/rates/NMT1_NP_066565.1.csv
NP_001185946.1	LRRC49	15	data/rates/LRRC49_NP_001185946.1.csv
NP_000915.1	PDE1B	12	data/rates/PDE1B_NP_000915.1.csv
NP_001269497.1	ZCCHC17	1	data/rates/ZCCHC17_NP_001269497.1.csv
NP_000912.3	PDE3A	12	data/rates/PDE3A_NP_000912.3.csv
NP_077024.2	DHX58	17	data/rates/DHX58_NP_077024.2.csv
NP_001040.1	SSTR1	14	data/rates/SSTR1_NP_001040.1.csv
NP_001350452.1	OGDH	7	data/rates/OGDH_NP_001350452.1.csv
NP_037440.3	GPR171	3	data/rates/GPR171_NP_037440.3.csv
NP_001292011.1	NAT9	17	data/rates/NAT9_NP_001292011.1.csv
NP_001317968.1	TRMT2A	22	data/rates/TRMT2A_NP_001317968.1.csv
NP_057661.3	RAB6B	3	data/rates/RAB6B_NP_057661.3.csv
NP_064560.2	DUS3L	19	data/rates/DUS3L_NP_064560.2.csv
NP_001091102.1	GCNT1	9	data/rates/GCNT1_NP_001091102.1.csv
NP_001289968.1	INTS15	7	data/rates/C7orf26_NP_001289968.1.csv
NP_001292006.1	NAT9	17	data/rates/NAT9_NP_001292006.1.csv
NP_892029.2	TRMT2A	22	data/rates/TRMT2A_NP_892029.2.csv
NP_076972.2	INTS15	7	data/rates/C7orf26_NP_076972.2.csv
NP_001295358.1	GARIN5A	19	data/rates/FAM71E1_NP_001295358.1.csv
NP_001010922.1	BCL2L15	1	data/rates/BCL2L15_NP_001010922.1.csv
NP_071439.3	DUS1L	17	data/rates/DUS1L_NP_071439.3.csv
NP_001245241.1	PDE1A	2	data/rates/PDE1A_NP_001245241.1.csv
NP_001118230.1	SPNS2	17	data/rates/SPNS2_NP_001118230.1.csv
NP_631917.1	ALKBH3	11	data/rates/ALKBH3_NP_631917.1.csv
NP_001043.2	SSTR4	20	data/rates/SSTR4_NP_001043.2.csv
NP_001275938.1	SLFN12	17	data/rates/SLFN12_NP_001275938.1.csv
NP_705834.2	GARIN4	1	data/rates/FAM71A_NP_705834.2.csv
NP_056092.2	NEDD4L	18	data/rates/NEDD4L_NP_056092.2.csv
NP_001451.2	FMO2	1	data/rates/FMO2_NP_001451.2.csv
NP_001013649.2	NHSL2	X	data/rates/NHSL2_NP_001013649.2.csv
NP_000021.1	AGXT	2	data/rates/AGXT_NP_000021.1.csv
NP_078916.3	YRDC	1	data/rates/YRDC_NP_078916.3.csv
NP_001257348.1	DUS4L	7	data/rates/DUS4L_NP_001257348.1.csv
NP_000935.1	PPP3CA	4	data/rates/PPP3CA_NP_000935.1.csv
NP_002856.1	RAB2A	8	data/rates/RAB2A_NP_002856.1.csv
NP_001107564.1	THUMPD3	3	data/rates/THUMPD3_NP_001107564.1.csv
NP_002532.2	OGDH	7	data/rates/OGDH_NP_002532.2.csv
NP_005010.2	PDE1A	2	data/rates/PDE1A_NP_005010.2.csv
NP_570969.2	GARIN3	5	data/rates/FAM71B_NP_570969.2.csv
NP_001073979.3	METTL23	17	data/rates/METTL23_NP_001073979.3.csv
NP_001138874.1	GARIN5B	19	data/rates/FAM71E2_NP_001138874.1.csv
NP_116235.2	RAB2B	14	data/rates/RAB2B_NP_116235.2.csv
NP_110437.2	TXNDC5	6	data/rates/TXNDC5_NP_110437.2.csv
NP_001004065.2	PALM2AKAP2	9	data/rates/AKAP2_NP_001004065.2.csv
NP_056494.1	TRUB2	9	data/rates/TRUB2_NP_056494.1.csv
NP_116184.2	RPUSD4	11	data/rates/RPUSD4_NP_116184.2.csv
NP_653252.4	PXDNL	8	data/rates/PXDNL_NP_653252.4.csv
NP_001333809.1	MFSD2B	2	data/rates/MFSD2B_NP_001333809.1.csv
NP_002290.2	LCT	2	data/rates/LCT_NP_002290.2.csv
NP_510880.2	MYO18A	17	data/rates/MYO18A_NP_510880.2.csv
NP_699195.1	GARIN6	12	data/rates/FAM71C_NP_699195.1.csv
NP_061176.4	DHTKD1	10	data/rates/DHTKD1_NP_061176.4.csv
NP_112582.3	PUS7L	12	data/rates/PUS7L_NP_112582.3.csv
NP_079491.2	PUS1	12	data/rates/PUS1_NP_079491.2.csv
NP_004799.1	NMT2	10	data/rates/NMT2_NP_004799.1.csv
NP_001295224.1	NMT2	10	data/rates/NMT2_NP_001295224.1.csv
NP_036425.1	PXDN	2	data/rates/PXDN_NP_036425.1.csv
NP_057624.3	GPR83	11	data/rates/GPR83_NP_057624.3.csv
NP_057562.3	ZC3HC1	7	data/rates/ZC3HC1_NP_057562.3.csv
NP_631908.1	TRUB1	10	data/rates/TRUB1_NP_631908.1.csv
NP_000392.3	EXT2	11	data/rates/EXT2_NP_000392.3.csv
NP_057166.4	CDK5RAP1	20	data/rates/CDK5RAP1_NP_057166.4.csv
NP_001193409.1	ELMO1	7	data/rates/ELMO1_NP_001193409.1.csv
NP_001018087.1	NR3C1	5	data/rates/NR3C1_NP_001018087.1.csv
NP_001185722.1	ARPC4-TTLL3	3	data/rates/TTLL3_NP_001185722.1.csv
NP_001004341.1	ETV3L	1	data/rates/ETV3L_NP_001004341.1.csv
NP_001099147.2	UGT2A2	4	data/rates/UGT2A1_NP_001099147.2.csv
NP_064579.3	MFF	2	data/rates/MFF_NP_064579.3.csv
NP_001129978.2	SLC22A24	11	data/rates/SLC22A24_NP_001129978.2.csv
NP_001229238.1	PITRM1	10	data/rates/PITRM1_NP_001229238.1.csv
NP_001073882.3	NOBOX	7	data/rates/NOBOX_NP_001073882.3.csv
NP_001157650.1	ENTPD1	10	data/rates/ENTPD1_NP_001157650.1.csv
NP_055859.1	GGA2	16	data/rates/GGA2_NP_055859.1.csv
NP_001230542.1	LMO3	12	data/rates/LMO3_NP_001230542.1.csv
NP_001193599.1	PLA2G4E	15	data/rates/PLA2G4E_NP_001193599.1.csv
NP_001244918.1	TYMP	22	data/rates/TYMP_NP_001244918.1.csv
NP_001172035.1	PLCXD2	3	data/rates/PLCXD2_NP_001172035.1.csv
NP_077310.1	TMEM43	3	data/rates/TMEM43_NP_077310.1.csv
NP_001153880.1	TULP3	12	data/rates/TULP3_NP_001153880.1.csv
NP_997046.1	LMOD2	7	data/rates/LMOD2_NP_997046.1.csv
NP_001311313.1	HMBOX1	8	data/rates/HMBOX1_NP_001311313.1.csv
NP_001310194.1	PRKCQ	10	data/rates/PRKCQ_NP_001310194.1.csv
NP_001287658.1	COX18	4	data/rates/COX18_NP_001287658.1.csv
NP_001306885.1	RNF220	1	data/rates/TMEM53_NP_001306885.1.csv
NP_001334748.1	OGDHL	10	data/rates/OGDHL_NP_001334748.1.csv
NP_002915.3	RGS7	1	data/rates/RGS7_NP_002915.3.csv
NP_004230.2	TRIP11	14	data/rates/TRIP11_NP_004230.2.csv
NP_001290203.1	ACLY	17	data/rates/ACLY_NP_001290203.1.csv
NP_001307764.1	DENND4A	15	data/rates/DENND4A_NP_001307764.1.csv
NP_115946.2	USP38	4	data/rates/USP38_NP_115946.2.csv
NP_116119.2	RTN4IP1	6	data/rates/RTN4IP1_NP_116119.2.csv
NP_060482.2	KIF26B	1	data/rates/KIF26B_NP_060482.2.csv
NP_001357587.1	BTD	3	data/rates/BTD_NP_001357587.1.csv
NP_005795.2	DDX39A	19	data/rates/DDX39A_NP_005795.2.csv
NP_006064.2	TRDN	6	data/rates/TRDN_NP_006064.2.csv
NP_001012457.3	GARIN1A	7	data/rates/FAM71F2_NP_001012457.3.csv
NP_057146.1	CIAO2B	16	data/rates/FAM96B_NP_057146.1.csv
NP_065116.3	XPNPEP1	10	data/rates/XPNPEP1_NP_065116.3.csv
NP_060030.1	ZNF853	7	data/rates/ZNF853_NP_060030.1.csv
NP_001186094.1	CEP112	17	data/rates/CEP112_NP_001186094.1.csv
NP_061028.3	GABRQ	X	data/rates/GABRQ_NP_061028.3.csv
NP_570123.1	ACOT12	5	data/rates/ACOT12_NP_570123.1.csv
NP_001012660.1	GRAMD2A	15	data/rates/GRAMD2A_NP_001012660.1.csv
NP_055535.2	SLK	10	data/rates/SLK_NP_055535.2.csv
NP_003791.3	RNGTT	6	data/rates/RNGTT_NP_003791.3.csv
NP_001106197.1	CEP170B	14	data/rates/CEP170B_NP_001106197.1.csv
NP_542389.1	ACY3	11	data/rates/ACY3_NP_542389.1.csv
NP_002460.1	MYF6	12	data/rates/MYF6_NP_002460.1.csv
NP_689523.1	ELOVL3	10	data/rates/ELOVL3_NP_689523.1.csv
NP_001245274.1	PACRGL	4	data/rates/PACRGL_NP_001245274.1.csv
NP_060216.2	TEX10	9	data/rates/TEX10_NP_060216.2.csv
NP_919442.1	RNF126	19	data/rates/RNF126_NP_919442.1.csv
NP_061841.2	SNTG2	2	data/rates/SNTG2_NP_061841.2.csv
NP_009029.3	CLTCL1	22	data/rates/CLTCL1_NP_009029.3.csv
NP_065852.1	ARRDC3	5	data/rates/ARRDC3_NP_065852.1.csv
NP_001036148.2	SHPRH	6	data/rates/SHPRH_NP_001036148.2.csv
NP_001271456.1	ZSCAN32	16	data/rates/ZSCAN32_NP_001271456.1.csv
NP_112599.2	SCRT1	8	data/rates/SCRT1_NP_112599.2.csv
NP_114156.1	FGFBP2	4	data/rates/FGFBP2_NP_114156.1.csv
NP_005057.1	SFPQ	1	data/rates/SFPQ_NP_005057.1.csv
NP_003920.1	RAB29	1	data/rates/RAB29_NP_003920.1.csv
NP_982293.1	ENTPD2	9	data/rates/ENTPD2_NP_982293.1.csv
NP_055880.2	EXPH5	11	data/rates/EXPH5_NP_055880.2.csv
NP_076999.2	DSCC1	8	data/rates/DSCC1_NP_076999.2.csv
NP_001139806.1	NACAD	7	data/rates/NACAD_NP_001139806.1.csv
NP_067636.1	PLEKHA2	8	data/rates/PLEKHA2_NP_067636.1.csv
NP_068776.2	GYS2	12	data/rates/GYS2_NP_068776.2.csv
NP_001026895.2	DDX59	1	data/rates/DDX59_NP_001026895.2.csv
NP_001073876.2	GLB1L3	11	data/rates/GLB1L3_NP_001073876.2.csv
NP_001106203.2	MCF2L	13	data/rates/MCF2L_NP_001106203.2.csv
NP_775840.3	UBN2	7	data/rates/UBN2_NP_775840.3.csv
NP_002831.2	PTPRF	1	data/rates/PTPRF_NP_002831.2.csv
NP_653299.4	ANKRD35	1	data/rates/ANKRD35_NP_653299.4.csv
NP_002832.3	PTPRG	3	data/rates/PTPRG_NP_002832.3.csv
NP_945344.1	STAC2	17	data/rates/STAC2_NP_945344.1.csv
NP_002895.3	NELFE	6	data/rates/NELFE_NP_002895.3.csv
NP_004564.2	PLCB2	15	data/rates/PLCB2_NP_004564.2.csv
NP_997246.2	NCKAP5	2	data/rates/NCKAP5_NP_997246.2.csv
NP_056465.2	TRAF3IP1	2	data/rates/TRAF3IP1_NP_056465.2.csv
NP_064529.4	PAPOLB	7	data/rates/PAPOLB_NP_064529.4.csv
NP_061857.3	SSH1	12	data/rates/SSH1_NP_061857.3.csv
NP_006501.1	TRIM27	6	data/rates/TRIM27_NP_006501.1.csv
NP_689919.1	TEX47	7	data/rates/TEX47_NP_689919.1.csv
NP_001337743.1	GRB10	7	data/rates/GRB10_NP_001337743.1.csv
NP_073746.2	PLEKHG2	19	data/rates/PLEKHG2_NP_073746.2.csv
NP_115699.1	TMEM79	1	data/rates/TMEM79_NP_115699.1.csv
NP_003853.1	FGF18	5	data/rates/FGF18_NP_003853.1.csv
NP_002652.2	PLCG2	16	data/rates/PLCG2_NP_002652.2.csv
NP_000169.1	GSS	20	data/rates/GSS_NP_000169.1.csv
NP_006293.2	MOGS	2	data/rates/MOGS_NP_006293.2.csv
NP_004988.2	MYBPH	1	data/rates/MYBPH_NP_004988.2.csv
NP_056028.2	DENND5A	11	data/rates/DENND5A_NP_056028.2.csv
NP_061154.1	ZC4H2	X	data/rates/ZC4H2_NP_061154.1.csv
NP_001034852.3	TMEM232	5	data/rates/TMEM232_NP_001034852.3.csv
NP_002653.1	PLD1	3	data/rates/PLD1_NP_002653.1.csv
NP_001275675.1	CMTM5	14	data/rates/CMTM5_NP_001275675.1.csv
NP_443724.1	AZIN2	1	data/rates/AZIN2_NP_443724.1.csv
NP_055932.2	ZC3H3	8	data/rates/ZC3H3_NP_055932.2.csv
NP_443148.1	RNF157	17	data/rates/RNF157_NP_443148.1.csv
NP_001317601.1	LIMCH1	4	data/rates/LIMCH1_NP_001317601.1.csv
NP_742152.1	IFNL1	19	data/rates/IFNL1_NP_742152.1.csv
NP_001073944.1	PLEKHM3	2	data/rates/PLEKHM3_NP_001073944.1.csv
NP_004998.3	NFKBIL1	6	data/rates/NFKBIL1_NP_004998.3.csv
NP_002624.2	PGM1	1	data/rates/PGM1_NP_002624.2.csv
NP_004934.1	DMWD	19	data/rates/DMWD_NP_004934.1.csv
NP_110389.1	BHLHE41	12	data/rates/BHLHE41_NP_110389.1.csv
NP_002461.2	MYH3	17	data/rates/MYH3_NP_002461.2.csv
NP_078962.4	TTLL7	1	data/rates/TTLL7_NP_078962.4.csv
NP_055336.1	SH3BP4	2	data/rates/SH3BP4_NP_055336.1.csv
NP_542164.2	OSBPL1A	18	data/rates/OSBPL1A_NP_542164.2.csv
NP_001254500.1	TBC1D2	9	data/rates/TBC1D2_NP_001254500.1.csv
NP_001661.1	ARVCF	22	data/rates/ARVCF_NP_001661.1.csv
NP_001271165.2	ZFYVE16	5	data/rates/ZFYVE16_NP_001271165.2.csv
NP_065916.2	DHX36	3	data/rates/DHX36_NP_065916.2.csv
NP_006690.1	MAN1A2	1	data/rates/MAN1A2_NP_006690.1.csv
NP_062536.2	KIAA1217	10	data/rates/KIAA1217_NP_062536.2.csv
NP_001124435.1	NEMP1	12	data/rates/NEMP1_NP_001124435.1.csv
NP_001073312.1	CASZ1	1	data/rates/CASZ1_NP_001073312.1.csv
NP_003148.2	NEK4	3	data/rates/NEK4_NP_003148.2.csv
NP_001007541.2	CDHR4	3	data/rates/CDHR4_NP_001007541.2.csv
NP_061961.2	PAF1	19	data/rates/PAF1_NP_061961.2.csv
NP_057699.2	SLC6A13	12	data/rates/SLC6A13_NP_057699.2.csv
NP_004926.1	CDK5	7	data/rates/CDK5_NP_004926.1.csv
NP_003049.2	SLC22A2	6	data/rates/SLC22A2_NP_003049.2.csv
NP_005210.3	DIAPH1	5	data/rates/DIAPH1_NP_005210.3.csv
NP_003631.2	ELP1	9	data/rates/ELP1_NP_003631.2.csv
NP_002352.1	MAG	19	data/rates/MAG_NP_002352.1.csv
NP_055677.3	ARNT2	15	data/rates/ARNT2_NP_055677.3.csv
NP_055989.1	ZFR2	19	data/rates/ZFR2_NP_055989.1.csv
NP_066018.1	NCOA5	20	data/rates/NCOA5_NP_066018.1.csv
NP_001019784.2	FEZF1	7	data/rates/FEZF1_NP_001019784.2.csv
NP_003739.2	ALDH4A1	1	data/rates/ALDH4A1_NP_003739.2.csv
NP_002339.2	LY9	1	data/rates/LY9_NP_002339.2.csv
NP_003931.2	USP13	3	data/rates/USP13_NP_003931.2.csv
NP_001107.2	ADCY9	16	data/rates/ADCY9_NP_001107.2.csv
NP_612373.2	PRMT9	4	data/rates/PRMT9_NP_612373.2.csv
NP_006178.2	OAS3	12	data/rates/OAS3_NP_006178.2.csv
NP_004299.1	ARHGAP1	11	data/rates/ARHGAP1_NP_004299.1.csv
NP_075055.1	RASAL3	19	data/rates/RASAL3_NP_075055.1.csv
NP_115890.2	ACSS1	20	data/rates/ACSS1_NP_115890.2.csv
NP_004798.3	HS6ST1	2	data/rates/HS6ST1_NP_004798.3.csv
NP_002340.2	LY75	2	data/rates/LY75_NP_002340.2.csv
NP_065804.2	CASKIN2	17	data/rates/CASKIN2_NP_065804.2.csv
NP_775771.3	TTBK2	15	data/rates/TTBK2_NP_775771.3.csv
NP_006102.2	ACAA2	18	data/rates/ACAA2_NP_006102.2.csv
NP_078918.3	GALNT12	9	data/rates/GALNT12_NP_078918.3.csv
NP_149025.1	GAL3ST3	11	data/rates/GAL3ST3_NP_149025.1.csv
NP_115689.1	NOA1	4	data/rates/NOA1_NP_115689.1.csv
NP_060890.2	SLC22A15	1	data/rates/SLC22A15_NP_060890.2.csv
NP_005727.1	ACTR1A	10	data/rates/ACTR1A_NP_005727.1.csv
NP_060552.4	POLR3B	12	data/rates/POLR3B_NP_060552.4.csv
NP_055637.2	SEC24D	4	data/rates/SEC24D_NP_055637.2.csv
NP_037398.2	CTNNA3	10	data/rates/CTNNA3_NP_037398.2.csv
NP_803136.2	KLC3	19	data/rates/KLC3_NP_803136.2.csv
NP_061187.3	MAML3	4	data/rates/MAML3_NP_061187.3.csv
NP_071905.3	HS1BP3	2	data/rates/HS1BP3_NP_071905.3.csv
NP_001353651.1	GRIP1	12	data/rates/GRIP1_NP_001353651.1.csv
NP_003879.2	ALDH1A2	15	data/rates/ALDH1A2_NP_003879.2.csv
NP_064584.1	C5orf15	5	data/rates/C5orf15_NP_064584.1.csv
NP_001351815.1	RGS7	1	data/rates/RGS7_NP_001351815.1.csv
NP_733745.1	SH2D3C	9	data/rates/SH2D3C_NP_733745.1.csv
NP_000952.1	PTGIS	20	data/rates/PTGIS_NP_000952.1.csv
NP_000937.1	PRIM1	12	data/rates/PRIM1_NP_000937.1.csv
NP_004950.2	NR5A1	9	data/rates/NR5A1_NP_004950.2.csv
NP_057657.2	GMIP	19	data/rates/GMIP_NP_057657.2.csv
NP_071411.1	RBKS	2	data/rates/RBKS_NP_071411.1.csv
NP_057136.2	RRP15	1	data/rates/RRP15_NP_057136.2.csv
NP_001334.2	DAB2	5	data/rates/DAB2_NP_001334.2.csv
NP_079334.3	TRIM46	1	data/rates/TRIM46_NP_079334.3.csv
NP_116277.2	COL27A1	9	data/rates/COL27A1_NP_116277.2.csv
NP_443108.1	NACC1	19	data/rates/NACC1_NP_443108.1.csv
NP_001034553.3	MROH7	1	data/rates/MROH7_NP_001034553.3.csv
NP_001352986.1	OTUD4	4	data/rates/OTUD4_NP_001352986.1.csv
NP_055377.1	OTX1	2	data/rates/OTX1_NP_055377.1.csv
NP_110379.2	TCP1	6	data/rates/TCP1_NP_110379.2.csv
NP_872353.2	TMED4	7	data/rates/TMED4_NP_872353.2.csv
NP_001136197.1	ERI2	16	data/rates/ERI2_NP_001136197.1.csv
NP_001073962.1	ZNF823	19	data/rates/ZNF823_NP_001073962.1.csv
NP_055862.1	EMC1	1	data/rates/EMC1_NP_055862.1.csv
NP_075062.2	SLC26A6	3	data/rates/SLC26A6_NP_075062.2.csv
NP_112196.3	TRMT1L	1	data/rates/TRMT1L_NP_112196.3.csv
NP_001245348.1	LRRC4C	11	data/rates/LRRC4C_NP_001245348.1.csv
NP_005201.2	CRYGB	2	data/rates/CRYGB_NP_005201.2.csv
NP_848593.2	SLC5A12	11	data/rates/SLC5A12_NP_848593.2.csv
NP_003746.2	EIF3G	19	data/rates/EIF3G_NP_003746.2.csv
NP_079223.3	PHC3	3	data/rates/PHC3_NP_079223.3.csv
NP_612639.2	TAF8	6	data/rates/TAF8_NP_612639.2.csv
NP_031392.3	PLA2R1	2	data/rates/PLA2R1_NP_031392.3.csv
NP_056534.2	COL5A3	19	data/rates/COL5A3_NP_056534.2.csv
NP_000110.2	EPB42	15	data/rates/EPB42_NP_000110.2.csv
NP_001599.1	ACADL	2	data/rates/ACADL_NP_001599.1.csv
NP_000680.2	ALDH1A1	9	data/rates/ALDH1A1_NP_000680.2.csv
NP_036450.1	LETM1	4	data/rates/LETM1_NP_036450.1.csv
NP_003744.1	EIF3D	22	data/rates/EIF3D_NP_003744.1.csv
NP_079479.1	WDCP	2	data/rates/WDCP_NP_079479.1.csv
NP_660333.2	ADGRA3	4	data/rates/ADGRA3_NP_660333.2.csv
NP_006157.1	NFYB	12	data/rates/NFYB_NP_006157.1.csv
NP_073150.2	EBF2	8	data/rates/EBF2_NP_073150.2.csv
NP_001123555.1	ABLIM2	4	data/rates/ABLIM2_NP_001123555.1.csv
NP_001138422.1	SSC5D	19	data/rates/SSC5D_NP_001138422.1.csv
NP_036379.2	SEPHS1	10	data/rates/SEPHS1_NP_036379.2.csv
NP_006047.3	NMUR1	2	data/rates/NMUR1_NP_006047.3.csv
NP_149975.1	PIGS	17	data/rates/PIGS_NP_149975.1.csv
NP_063945.2	INPP5E	9	data/rates/INPP5E_NP_063945.2.csv
NP_065822.2	HACE1	6	data/rates/HACE1_NP_065822.2.csv
NP_899195.1	SEC13	3	data/rates/SEC13_NP_899195.1.csv
NP_003734.3	NCOA1	2	data/rates/NCOA1_NP_003734.3.csv
NP_001273609.1	NPM2	8	data/rates/NPM2_NP_001273609.1.csv
NP_078817.2	ARMH3	10	data/rates/ARMH3_NP_078817.2.csv
NP_002463.2	MYH8	17	data/rates/MYH8_NP_002463.2.csv
NP_001036111.1	TRAK1	3	data/rates/TRAK1_NP_001036111.1.csv
NP_112497.2	PITPNM3	17	data/rates/PITPNM3_NP_112497.2.csv
